iter	Logloss
0	0.6858239791
1	0.678121555
2	0.6717621749
3	0.6654599942
4	0.6595676374
5	0.6533164673
6	0.6481249652
7	0.6401569248
8	0.6326715769
9	0.6278579334
10	0.6220320919
11	0.6160267981
12	0.6107252572
13	0.6064061354
14	0.6017128551
15	0.5967126642
16	0.5931628243
17	0.5884566064
18	0.5840517707
19	0.5800520007
20	0.5757289698
21	0.5726330469
22	0.5683152599
23	0.5647333542
24	0.5613874748
25	0.5568541024
26	0.5534538165
27	0.5500113736
28	0.5464632088
29	0.5425817601
30	0.5393502704
31	0.5353792215
32	0.5318718255
33	0.5291016151
34	0.5270440878
35	0.5237922116
36	0.5202424789
37	0.5168356375
38	0.5144790152
39	0.5119984361
40	0.5092065291
41	0.5058630074
42	0.5030185386
43	0.5001454343
44	0.4979327945
45	0.4960096468
46	0.4935370618
47	0.4912910894
48	0.4891000624
49	0.4868597099
50	0.4852316589
51	0.4831120136
52	0.4805315893
53	0.4779647533
54	0.4756358815
55	0.4740180128
56	0.4723468638
57	0.4706788671
58	0.4687756526
59	0.4670106866
60	0.4647134317
61	0.4629754616
62	0.4612653566
63	0.4597655631
64	0.4582817605
65	0.4562287642
66	0.4544090622
67	0.4533027616
68	0.451484324
69	0.4499228498
70	0.4481043767
71	0.4465772819
72	0.4447831014
73	0.4435188739
74	0.4418692603
75	0.4401937481
76	0.4382767323
77	0.4371807589
78	0.4359527175
79	0.4341036859
80	0.4330026541
81	0.432207406
82	0.4309015312
83	0.4294957126
84	0.4273563151
85	0.4263026142
86	0.4244858648
87	0.4232985635
88	0.4214889756
89	0.4198351003
90	0.4185930511
91	0.4173890699
92	0.4157703606
93	0.4149151882
94	0.4136808524
95	0.4122595963
96	0.4113138883
97	0.4100286469
98	0.409146991
99	0.4080167939
100	0.407277164
101	0.4061903771
102	0.4049030103
103	0.403533602
104	0.402413689
105	0.4016635136
106	0.4006125565
107	0.3996462752
108	0.3981404819
109	0.3970333507
110	0.3960790626
111	0.3951536679
112	0.3940347016
113	0.3931279657
114	0.3919192458
115	0.3912937441
116	0.3902074658
117	0.3888503498
118	0.387802175
119	0.3871390184
120	0.3862376899
121	0.3856114779
122	0.384535619
123	0.3841222839
124	0.3833751285
125	0.3823474222
126	0.38136454
127	0.3805886494
128	0.3792855359
129	0.3784966131
130	0.3778083468
131	0.3770941692
132	0.376101536
133	0.3752357878
134	0.3740948645
135	0.3729489551
136	0.3717361685
137	0.3710177088
138	0.3703229814
139	0.3692601631
140	0.368797602
141	0.3681113816
142	0.3676922048
143	0.3669203376
144	0.3662622505
145	0.3655705695
146	0.3648800686
147	0.3639855603
148	0.363073706
149	0.3618901736
150	0.3609791324
151	0.3599523932
152	0.3591462345
153	0.3585215104
154	0.3582554045
155	0.3575968431
156	0.357107223
157	0.3566122689
158	0.3559618916
159	0.3551619466
160	0.3544414971
161	0.3537612742
162	0.3531291706
163	0.3523760546
164	0.3514797773
165	0.3508569136
166	0.3500779091
167	0.349626153
168	0.3489449023
169	0.3480076164
170	0.347225342
171	0.3462900223
172	0.345660377
173	0.3449312459
174	0.3443889442
175	0.3436955961
176	0.343056792
177	0.342510421
178	0.3419973457
179	0.3412967866
180	0.3405729885
181	0.3398667118
182	0.3393410644
183	0.3386802955
184	0.338346004
185	0.3379965819
186	0.3376402229
187	0.3368312304
188	0.3362388933
189	0.3357152202
190	0.3349099929
191	0.3343052869
192	0.3339554964
193	0.3332810767
194	0.3326551811
195	0.332075426
196	0.3313376385
197	0.3308720846
198	0.3304915151
199	0.3300191691
200	0.329487206
201	0.3290425728
202	0.3286326925
203	0.3281555135
204	0.32751953
205	0.3269647605
206	0.3260992442
207	0.3256289938
208	0.3252924596
209	0.3251895539
210	0.3245910982
211	0.3240385506
212	0.3234802305
213	0.3230315937
214	0.3225134648
215	0.3216893914
216	0.321233632
217	0.3206771839
218	0.3201455849
219	0.319649628
220	0.3190859062
221	0.3181735605
222	0.3175239896
223	0.3169147092
224	0.3163433139
225	0.3160330119
226	0.3155095597
227	0.315042346
228	0.3145404528
229	0.3140119558
230	0.3131156315
231	0.3126627253
232	0.3124177379
233	0.3119674391
234	0.3114583547
235	0.310891133
236	0.3103898309
237	0.3099182693
238	0.3093912831
239	0.3090922119
240	0.3087731767
241	0.308302769
242	0.3078925093
243	0.3073109961
244	0.3066365528
245	0.3061529106
246	0.3058911584
247	0.3055715603
248	0.3052801096
249	0.3049235955
250	0.3045046927
251	0.3040107204
252	0.3038171319
253	0.3033122437
254	0.3029257752
255	0.3024048325
256	0.30197258
257	0.3014402109
258	0.3011632593
259	0.300803139
260	0.3001396504
261	0.2998722353
262	0.2993020105
263	0.2988303058
264	0.2983222628
265	0.2980216149
266	0.2976394823
267	0.2970802458
268	0.2969288388
269	0.2963057599
270	0.2957149879
271	0.2951943943
272	0.2948305039
273	0.2945146633
274	0.2942014748
275	0.2937835221
276	0.2935555948
277	0.2934002455
278	0.2929793638
279	0.2922119388
280	0.2917585908
281	0.2910883524
282	0.2909435931
283	0.2907204188
284	0.2901545943
285	0.2895910553
286	0.289163965
287	0.2887746412
288	0.2881764551
289	0.287777716
290	0.2873416162
291	0.2868716739
292	0.28678774
293	0.2864573614
294	0.2861478196
295	0.2854950281
296	0.285181393
297	0.2848111248
298	0.2842850998
299	0.284102663
300	0.283968193
301	0.2835180608
302	0.2831673095
303	0.2825580473
304	0.2820850992
305	0.2815042773
306	0.281030464
307	0.2804765428
308	0.2802145481
309	0.2797610131
310	0.279185736
311	0.2788651627
312	0.2784560809
313	0.2781445168
314	0.2778433628
315	0.27755087
316	0.2768617677
317	0.2765322982
318	0.2760564665
319	0.275712331
320	0.2755811263
321	0.2753571317
322	0.2747266562
323	0.2743365268
324	0.2739186683
325	0.2732736561
326	0.2728286362
327	0.2723130833
328	0.2720972151
329	0.2716096256
330	0.2710516934
331	0.2704879643
332	0.2700544537
333	0.2691240224
334	0.2688935049
335	0.2683542925
336	0.2680698861
337	0.2677949345
338	0.2674007436
339	0.2670955229
340	0.2667807458
341	0.2664938457
342	0.2659835181
343	0.2656904374
344	0.2652455133
345	0.2649483138
346	0.2644974231
347	0.2640866214
348	0.2638003421
349	0.2633906997
350	0.2628872616
351	0.2621958516
352	0.2618882466
353	0.2614699625
354	0.2609340733
355	0.2605267427
356	0.2602098161
357	0.2595088392
358	0.2588597359
359	0.2582379909
360	0.2578410331
361	0.2574509169
362	0.2571593953
363	0.2565980178
364	0.2563184985
365	0.2560435972
366	0.2553841306
367	0.255182662
368	0.2547734016
369	0.2544117427
370	0.2542637675
371	0.2539431782
372	0.2536612164
373	0.2531618084
374	0.2526788392
375	0.2522084529
376	0.2520121718
377	0.2516874389
378	0.2512948302
379	0.2505464378
380	0.2502660966
381	0.2497665132
382	0.2492962201
383	0.2490047637
384	0.2485237872
385	0.2481238146
386	0.2475603968
387	0.2473892917
388	0.2472110705
389	0.2468376383
390	0.2468216566
391	0.2461491229
392	0.2458146674
393	0.2455922995
394	0.2453152292
395	0.2451482202
396	0.2442516798
397	0.244039942
398	0.2437734519
399	0.2435734503
400	0.2431755144
401	0.2426428849
402	0.2421608328
403	0.2417896838
404	0.2415268647
405	0.2412072026
406	0.2405921443
407	0.2404203777
408	0.2400803729
409	0.2396275952
410	0.2392157504
411	0.2388722373
412	0.2386160272
413	0.2383129175
414	0.2377821514
415	0.2375230074
416	0.2371903105
417	0.2369482468
418	0.2366119261
419	0.2363718553
420	0.2360392868
421	0.2357546304
422	0.2355210998
423	0.2352780037
424	0.2348972665
425	0.2346704525
426	0.2342747435
427	0.2337908049
428	0.233257739
429	0.2329468634
430	0.2327178476
431	0.2323527016
432	0.2320325406
433	0.2317315347
434	0.2315031434
435	0.2310559163
436	0.2307778047
437	0.230662577
438	0.2303263144
439	0.2297082242
440	0.229522091
441	0.2293924663
442	0.2289917806
443	0.2285987246
444	0.2282187117
445	0.2278816762
446	0.2275559945
447	0.227201968
448	0.2269264445
449	0.2266997283
450	0.2265316663
451	0.2263567029
452	0.225969361
453	0.2256944573
454	0.2251697882
455	0.2248517131
456	0.2244394014
457	0.2240956587
458	0.2238369557
459	0.2236958262
460	0.2233125297
461	0.2228325581
462	0.2226259088
463	0.2223836616
464	0.222026054
465	0.2216043671
466	0.2213168235
467	0.2209898577
468	0.2207139263
469	0.2204245879
470	0.2202095809
471	0.2199398407
472	0.2195469538
473	0.2192011184
474	0.2191512445
