iter	Passed	Remaining
0	1	1836
1	4	2170
2	7	2409
3	8	2091
4	9	1886
5	10	1758
6	11	1657
7	13	1615
8	15	1739
9	16	1677
10	18	1621
11	19	1573
12	20	1537
13	21	1499
14	22	1468
15	23	1451
16	24	1424
17	25	1402
18	26	1380
19	31	1540
20	33	1540
21	34	1542
22	36	1543
23	37	1529
24	38	1507
25	39	1488
26	40	1469
27	41	1452
28	43	1445
29	44	1434
30	45	1424
31	48	1471
32	50	1484
33	52	1482
34	53	1482
35	54	1468
36	55	1455
37	56	1442
38	58	1429
39	59	1429
40	60	1418
41	61	1408
42	62	1398
43	63	1387
44	64	1377
45	65	1368
46	67	1360
47	68	1353
48	69	1344
49	70	1339
50	71	1339
51	74	1349
52	75	1346
53	76	1339
54	77	1331
55	78	1323
56	79	1315
57	80	1308
58	81	1304
59	82	1298
60	83	1291
61	85	1286
62	86	1281
63	87	1277
64	88	1271
65	89	1269
66	90	1263
67	91	1260
68	93	1255
69	94	1253
70	95	1248
71	96	1243
72	97	1238
73	98	1233
74	99	1229
75	100	1225
76	101	1221
77	102	1217
78	104	1212
79	105	1209
80	106	1206
81	107	1202
82	108	1198
83	109	1195
84	110	1192
85	111	1188
86	113	1187
87	114	1184
88	115	1180
89	116	1176
90	117	1173
91	118	1169
92	119	1167
93	120	1164
94	121	1161
95	123	1158
96	124	1155
97	125	1153
98	126	1151
99	127	1148
100	128	1145
101	129	1141
102	130	1138
103	131	1135
104	132	1132
105	133	1129
106	135	1134
107	137	1132
108	138	1129
109	139	1126
110	140	1123
111	141	1120
112	142	1118
113	143	1115
114	144	1112
115	145	1109
116	146	1107
117	147	1104
118	148	1101
119	150	1100
120	151	1097
121	152	1095
122	153	1092
123	154	1088
124	155	1086
125	156	1086
126	157	1084
127	159	1088
128	162	1098
129	163	1096
130	164	1093
131	166	1094
132	169	1107
133	171	1110
134	173	1108
135	174	1107
136	176	1109
137	177	1110
138	178	1107
139	179	1104
140	183	1118
141	186	1128
142	188	1128
143	189	1125
144	190	1123
145	191	1120
146	192	1117
147	193	1114
148	194	1112
149	195	1109
150	198	1115
151	200	1117
152	201	1115
153	202	1112
154	203	1110
155	205	1109
156	206	1106
157	207	1104
158	208	1102
159	210	1104
160	212	1108
161	216	1118
162	217	1118
163	220	1122
164	222	1124
165	224	1128
166	227	1132
167	229	1134
168	230	1131
169	231	1129
170	232	1128
171	234	1129
172	236	1130
173	237	1128
174	238	1126
175	240	1124
176	241	1122
177	243	1122
178	244	1123
179	246	1120
180	247	1118
181	248	1115
182	249	1113
183	250	1110
184	251	1109
185	253	1107
186	254	1104
187	255	1102
188	256	1102
189	258	1102
190	259	1100
191	261	1100
192	263	1100
193	264	1098
194	265	1096
195	266	1093
196	268	1092
197	270	1096
198	272	1096
199	275	1100
200	277	1102
201	278	1100
202	279	1097
203	280	1094
204	281	1092
205	283	1091
206	284	1089
207	285	1087
208	287	1086
209	287	1083
210	289	1080
211	290	1080
212	291	1078
213	292	1076
214	294	1073
215	295	1073
216	296	1071
217	297	1068
218	299	1067
219	300	1065
220	301	1064
221	303	1063
222	304	1061
223	305	1058
224	306	1056
225	307	1054
226	309	1052
227	310	1050
228	311	1049
229	312	1047
230	314	1045
231	315	1043
232	316	1041
233	317	1039
234	318	1038
235	320	1036
236	321	1034
237	322	1032
238	324	1032
239	325	1030
240	326	1029
241	328	1027
242	329	1026
243	330	1024
244	332	1024
245	333	1023
246	335	1021
247	336	1019
248	337	1017
249	339	1018
250	344	1027
251	345	1026
252	347	1024
253	348	1024
254	351	1027
255	352	1025
256	354	1023
257	355	1022
258	357	1022
259	358	1020
260	359	1018
261	360	1016
262	362	1015
263	367	1023
264	368	1022
265	369	1020
266	370	1018
267	372	1016
268	373	1015
269	376	1018
270	379	1019
271	380	1017
272	381	1016
273	382	1014
274	384	1012
275	385	1010
276	386	1008
277	387	1006
278	388	1005
279	390	1003
280	391	1000
281	392	998
282	393	998
283	396	999
284	397	997
285	398	995
286	399	992
287	400	990
288	401	988
289	402	986
290	403	984
291	405	982
292	406	980
293	407	978
294	408	976
295	410	975
296	411	973
297	412	971
298	413	969
299	414	967
300	415	965
301	416	962
302	417	960
303	418	959
304	420	957
305	421	955
306	422	953
307	423	950
308	424	949
309	425	947
310	426	945
311	427	943
312	428	941
313	429	939
314	431	937
315	432	935
316	433	934
317	434	932
318	435	930
319	436	928
320	437	925
321	438	923
322	439	921
323	440	919
324	442	918
325	443	916
326	444	914
327	445	912
328	446	910
329	447	908
330	448	906
331	449	904
332	450	902
333	451	900
334	453	899
335	454	899
336	456	897
337	457	895
338	458	893
339	459	891
340	460	889
341	461	887
342	462	885
343	463	884
344	464	882
345	465	880
346	467	878
347	468	877
348	469	875
349	470	873
350	471	871
351	472	870
352	473	868
353	475	866
354	476	864
355	477	863
356	478	861
357	479	860
358	481	858
359	482	857
360	483	855
361	484	853
362	485	851
363	486	850
364	487	848
365	488	846
366	489	844
367	490	843
368	493	843
369	496	846
370	497	844
371	498	842
372	500	840
373	501	839
374	505	842
375	507	842
376	508	840
377	509	838
378	510	836
379	511	834
380	512	833
381	513	831
382	514	829
383	516	827
384	520	831
385	521	830
386	522	828
387	524	826
388	525	824
389	526	823
390	526	820
391	527	818
392	529	817
393	530	815
394	531	813
395	532	812
396	533	811
397	535	809
398	536	807
399	537	805
400	538	804
401	539	802
402	540	801
403	541	799
404	542	797
405	544	796
406	546	795
407	547	794
408	549	793
409	550	791
410	551	790
411	552	788
412	553	786
413	554	784
414	555	783
415	556	781
416	557	779
417	558	778
418	560	777
419	561	775
420	562	773
421	563	772
422	564	770
423	565	768
424	567	767
425	568	765
426	569	763
427	570	762
428	571	760
429	572	759
430	573	757
431	574	755
432	575	754
433	577	752
434	578	751
435	579	749
436	580	748
437	582	746
438	583	745
439	584	743
440	585	742
441	586	740
442	587	738
443	588	737
444	589	735
445	590	734
446	591	732
447	593	730
448	594	729
449	595	728
450	597	727
451	599	726
452	601	725
453	603	725
454	604	724
455	605	722
456	606	721
457	607	719
458	609	718
459	610	716
460	611	715
461	612	713
462	613	711
463	614	710
464	615	708
465	617	707
466	618	705
467	620	705
468	621	703
469	623	703
470	627	705
471	628	703
472	629	701
473	631	700
474	632	698
475	633	697
476	634	695
477	635	693
478	636	692
479	637	690
480	638	689
481	639	687
482	642	687
483	643	686
484	644	684
485	646	684
486	647	682
487	648	680
488	650	679
489	651	677
490	652	676
491	653	674
492	654	672
493	659	675
494	661	674
495	662	672
496	663	671
497	664	669
498	665	668
499	666	666
500	668	665
501	669	664
502	671	663
503	672	661
504	674	660
505	675	659
506	676	657
507	677	656
508	678	654
509	679	652
510	680	651
511	681	649
512	683	648
513	684	646
514	685	645
515	686	643
516	687	642
517	689	641
518	690	639
519	691	638
520	692	636
521	694	636
522	696	635
523	697	633
524	698	632
525	699	630
526	700	629
527	703	628
528	704	627
529	705	625
530	706	623
531	707	622
532	708	620
533	709	619
534	711	618
535	712	616
536	713	615
537	714	613
538	715	612
539	716	610
540	717	609
541	719	607
542	720	606
543	721	604
544	722	603
545	723	601
546	724	600
547	725	598
548	726	597
549	727	595
550	730	595
551	732	594
552	734	593
553	737	593
554	738	592
555	740	591
556	741	589
557	742	587
558	743	586
559	744	584
560	745	583
561	746	581
562	747	580
563	748	578
564	749	577
565	751	575
566	752	574
567	753	573
568	754	571
569	756	570
570	757	568
571	758	567
572	759	565
573	760	564
574	761	563
575	762	561
576	764	560
577	765	558
578	766	557
579	768	556
580	769	554
581	770	553
582	771	551
583	772	550
584	773	549
585	775	547
586	777	546
587	778	545
588	779	544
589	780	542
590	781	541
591	782	539
592	783	538
593	785	536
594	786	535
595	787	533
596	788	532
597	789	530
598	790	529
599	791	527
600	793	527
601	795	526
602	797	525
603	799	524
604	801	523
605	802	522
606	804	520
607	806	519
608	807	518
609	809	517
610	812	517
611	814	516
612	816	515
613	823	517
614	863	540
615	867	541
616	874	542
617	878	543
618	881	542
619	886	543
620	888	542
621	893	543
622	897	542
623	900	542
624	904	542
625	910	544
626	913	543
627	919	544
628	921	543
629	924	543
630	927	542
631	930	541
632	933	541
633	935	539
634	937	538
635	941	538
636	943	537
637	945	536
638	947	535
639	951	535
